,序號,地點,口採樣點,鼻採樣點,輪候人數,等候時間,類別,Location
28,B21,海星中學海星中學口採樣點: 3鼻採樣點: 2輪候人數:170人等候時間:<U+2B24>34分鐘類別: (B) 一般市民採樣站（需預約）,3,2,170人,<U+2B24>34分鐘,B,海星中學
29,B22,奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 5鼻採樣點: 4輪候人數:350人等候時間:<U+2B24>39分鐘類別: (B) 一般市民採樣站（需預約）,5,4,350人,<U+2B24>39分鐘,B,奧林匹克體育中心-運動場-室內體育館
30,B23,嘉模會堂嘉模會堂口採樣點: 3鼻採樣點: 1輪候人數:70人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）,3,1,70人,<U+2B24>18分鐘,B,嘉模會堂
31,B24,北安客運碼頭北安客運碼頭口採樣點: 7鼻採樣點: 6輪候人數:190人等候時間:<U+2B24>15分鐘類別: (B) 一般市民採樣站（需預約）,7,6,190人,<U+2B24>15分鐘,B,北安客運碼頭
32,B25,教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 3鼻採樣點: 4輪候人數:310人等候時間:<U+2B24>44分鐘類別: (B) 一般市民採樣站（需預約）,3,4,310人,<U+2B24>44分鐘,B,教青局親職教育中心 (湖畔)
33,B26,澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 3鼻採樣點: 3輪候人數:272人等候時間:<U+2B24>45分鐘類別: (B) 一般市民採樣站（需預約）,3,3,272人,<U+2B24>45分鐘,B,澳門保安部隊高等學校
34,B27,街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 4鼻採樣點: 2輪候人數:105人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）,4,2,105人,<U+2B24>18分鐘,B,街總石排灣家庭及社區綜合服務中心
35,B28,澳門大學澳門大學口採樣點: 3鼻採樣點: 3輪候人數:50人等候時間:<U+2B24>8分鐘類別: (B) 一般市民採樣站（需預約）,3,3,50人,<U+2B24>8分鐘,B,澳門大學
36,B29,澳門威尼斯人澳門威尼斯人口採樣點: 14鼻採樣點: 7輪候人數:1531人等候時間:<U+2B24>73分鐘類別: (B) 一般市民採樣站（需預約）,14,7,1531人,<U+2B24>73分鐘,B,澳門威尼斯人
37,B30,澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 8鼻採樣點: 5輪候人數:390人等候時間:<U+2B24>30分鐘類別: (B) 一般市民採樣站（需預約）,8,5,390人,<U+2B24>30分鐘,B,澳門東亞運體育館A館
38,B31,科大體育館科大體育館口採樣點: 4鼻採樣點: 3輪候人數:25人等候時間:<U+2B24>4分鐘類別: (B) 一般市民採樣站（需預約）,4,3,25人,<U+2B24>4分鐘,B,科大體育館
39,C01,綜藝館綜藝館口採樣點: 1鼻採樣點: 1輪候人數:40人等候時間:<U+2B24>20分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）,1,1,40人,<U+2B24>20分鐘,C,綜藝館
40,C02,國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 1鼻採樣點: 1輪候人數:1人等候時間:<U+2B24>1分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）,1,1,1人,<U+2B24>1分鐘,C,國檢（澳門）醫務中心
41,C03,南粵橫琴口岸南粵橫琴口岸口採樣點: 1鼻採樣點: 1輪候人數:12人等候時間:<U+2B24>6分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）,1,1,12人,<U+2B24>6分鐘,C,南粵橫琴口岸
